2939$Voice$INC000001185852$Pending$28/06/2014 07:40:15$ANOC-COOS 2G:01 3G:00 4G:00-E//-2G-02939-VF-HW Issue$RAN A-NOC 1st Line COOS$Medium$Radio
31658$Voice$INC000001182171$Pending$26/06/2014 01:15:26$ANOC- COOS- 2G:02 -E//-2G-31658-VF-INTERMITTENT#REPEATED# TX BT$RAN A-NOC UK 2nd line Ericsson$Medium$Radio
1622$Voice$INC000001181948$Assigned$25/06/2014 10:30:48$G1622 - VIP - High DCR  & Alarm on Site$Network Radio Performance and Optimisation - London$Medium$Radio
9533$Voice$INC000001176493$Assigned$20/06/2014 14:44:52$ANOC-COOS 2G:02 3G:03 4G:00-E//-2G&3G-09533-VF-TX MW$RAN Access Transmission$Medium$Radio
11858|0262$Voice$INC000001176271$Assigned$20/06/2014 13:44:53$ANOC-COOS 2G:02 3G:00 4G:00-E//-2G-11858-VF-TX MW$RAN Access Transmission$Medium$Radio
4110$Voice$INC000001175234$In Progress$19/06/2014 16:20:38$U1 - MED - [4110] - MALDON - 2G$Corporate and VIP Escalations$High$Radio
0675$Voice$INC000001174571$Assigned$19/06/2014 12:18:58$2G Site 675 seems to be COOS$Network Radio Performance and Optimisation - London$Medium$Radio
81958$Voice$INC000001170152$Assigned$16/06/2014 15:57:40$ANOC-COOS 2G:00 3G:06 4G:00-NSN-3G-81958-VF-O2 -07557-Ref 9656029- HW Issue$RAN A-NOC 1st Line COOS$Medium$Radio
36380$Voice$INC000001164438$Pending$11/06/2014 15:43:25$ANOC-COOS 2G:00 3G:03 4G:00-E//-3G-36380-VF-TX BT$RAN A-NOC 1st Line COOS$Medium$Radio
0969$Voice$INC000001159060$Pending$08/06/2014 18:24:24$ANOC-COOS- 2G:01 3G:00 4G:00-#P1#-#MET#-#POC#-E//-2G-00969-VF-HIGH TEMP 40 DEG C$RAN A-NOC 1st Line COOS$High$Radio
33213|30149$Voice$INC000001154937$Assigned$04/06/2014 17:28:48$ANOC-COOS 2G:03 3G:03 4G:00-E//-2G&3G-33213-VF-TX MW$RAN Access Transmission$Medium$Radio
37698$Voice$INC000001150987$Assigned$02/06/2014 08:58:51$ANOC-E//-2G-37698-VF-HW Issue$RAN A-NOC 1st Line$Medium$Radio
5386|32530$Voice$INC000001145010$Assigned$27/05/2014 13:33:04$ANOC-COOS 2G:03 3G:06 4G:00-ALU-3G-32530-05386 - TX MW(LOS)$RAN Access Transmission$Medium$Radio
